det_fecha_hora,epi,mag,int_max,emis_fecha_hora,href,det_fecha_hora_local,lat_0,lon_0,prof_epi,id,prof_epi_nro,lat,lon
2023-06-10 17:53:00,Norte de región Soya,2.7,1,2023-06-10 17:56:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230611055622&lang=es,2023-06-11 05:53:00,45.2N,141.8E,10km,20230611055622,10.0,45.2,141.8
2023-06-10 14:45:00,"Nakadori, Prefectura de Fukushima",2.9,1,2023-06-10 14:47:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230611024759&lang=es,2023-06-11 02:45:00,37.0N,140.4E,80km,20230611024759,80.0,37.0,140.4
2023-06-10 13:21:00,Norte de Prefectura de Wakayama,4.1,2,2023-06-10 13:24:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230611012410&lang=es,2023-06-11 01:21:00,33.9N,135.2E,50km,20230611012410,50.0,33.9,135.2
2023-06-10 13:01:00,"Región Noto, Prefectura de Ishikawa",3.3,1,2023-06-10 13:04:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230611010417&lang=es,2023-06-11 01:01:00,37.5N,137.3E,10km,20230611010417,10.0,37.5,137.3
2023-06-10 06:22:00,Norte de región Soya,2.5,1,2023-06-10 06:26:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230610182636&lang=es,2023-06-10 18:22:00,45.2N,141.8E,20km,20230610182636,20.0,45.2,141.8
2023-06-10 05:57:00,Alta mar de Prefectura de Miyagi,3.6,2,2023-06-10 06:00:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230610180019&lang=es,2023-06-10 17:57:00,38.7N,142.0E,60km,20230610180019,60.0,38.7,142.0
2023-06-09 18:21:00,"Región Noto, Prefectura de Ishikawa",3.1,2,2023-06-09 18:24:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230610062422&lang=es,2023-06-10 06:21:00,37.5N,137.2E,10km,20230610062422,10.0,37.5,137.2
2023-06-09 15:45:00,"Mares cercanas de Isla Niijima, Kozujima",2.6,1,2023-06-09 15:49:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230610034931&lang=es,2023-06-10 03:45:00,34.5N,139.2E,10km,20230610034931,10.0,34.5,139.2
2023-06-09 15:41:00,"Región Aso, Prefectura de Kumamoto",2.1,1,2023-06-09 15:45:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230610034516&lang=es,2023-06-10 03:41:00,32.9N,131.0E,10km,20230610034516,10.0,32.9,131.0
2023-06-09 15:30:00,"Mares cercanas de Isla Niijima, Kozujima",3.7,2,2023-06-09 15:34:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230610033455&lang=es,2023-06-10 03:30:00,34.5N,139.2E,10km,20230610033455,10.0,34.5,139.2
